city_name_en,country_name_en,region,city_name,country_name,continent,latitude,longitude
Buenos Aires,Argentina,Latin America,Buenos Aires,Argentina,South America,-33.3657998,-60.19955
Miami,United States,US/Canada,Miami,United States,North America,25.7741728,-80.19362
Rome,Italy,Europe,Roma,Italia,Europe,41.8933203,12.4829321
Barcelona,Spain,Europe,Barcelona,España,Europe,41.3828939,2.1774322
Tehran,Iran,Middle East/Africa,شهر تهران,ایران,Asia,35.6877195,51.4396385
Istanbul,Turkey,Middle East/Africa,İstanbul,Türkiye,Asia,41.006381,28.9758715
Melbourne,Australia,Asia/Oceania,Melbourne,Australia,Oceania,-37.8142454,144.9631732
Shanghai,China,Asia/Oceania,Shanghai,中国,Asia,31.2312707,121.4700152
