city_name_en,country_name_en,region,city_name,country_name,continent,latitude,longitude
Lima,Peru,Latin America,Lima,Perú,South America,-11.967575,-77.0113689
Buenos Aires,Argentina,Latin America,Buenos Aires,Argentina,South America,-33.3657998,-60.19955
Mexico City,Mexico,Latin America,Mexico City,México,South America,19.3207722,-99.1514678
Miami,United States,US/Canada,Miami,United States,North America,25.7741728,-80.19362
Pittsburgh,United States,US/Canada,Pittsburgh,United States,North America,40.4416941,-79.9900861
Seattle,United States,US/Canada,Seattle,United States,North America,47.6038321,-122.330062
Rome,Italy,Europe,Roma,Italia,Europe,41.8933203,12.4829321
Barcelona,Spain,Europe,Barcelona,España,Europe,41.3828939,2.1774322
Stockholm,Sweden,Europe,Stockholm,Sverige,Europe,59.3251172,18.0710935
Tehran,Iran,Middle East/Africa,شهر تهران,ایران,Asia,35.6877195,51.4396385
Istanbul,Turkey,Middle East/Africa,İstanbul,Türkiye,Asia,41.006381,28.9758715
Mogadishu,Somalia,Middle East/Africa,Muqdisho مقديشو,Soomaaliya الصومال,Asia,2.0349312,45.3419183
Bangkok,Thailand,Asia/Oceania,กรุงเทพมหานคร,ประเทศไทย,Asia,13.7524938,100.4935089
Melbourne,Australia,Asia/Oceania,Melbourne,Australia,Oceania,-37.8142454,144.9631732
Shanghai,China,Asia/Oceania,Shanghai,中国,Asia,31.2312707,121.4700152
