country,city_name,train_station_name,train_station_lat,train_station_lon,region
Nederland,Amsterdam,Nieuwmarkt,52.3713176,4.9008788,Europe
United States,Atlanta,Georgia State,33.7501652,-84.3859566,US/Canada
United States,Baltimore,Charles Center,39.2895301,-76.6139275,US/Canada
ประเทศไทย,Bangkok,Sanam Chai,13.7443341,100.494692,Asia/Oceania
España,Barcelona,Jaume I,41.3840008,2.1787061,Europe
中国,Beijing,Xingshou,40.2373205,116.4214175,Asia/Oceania
Deutschland,Berlin,Spittelmarkt,52.5112959,13.4041155,Europe
Colombia,Bogota,Estación Usaquén,4.6906267,-74.0380325,Latin America
United States,Boston,Downtown Crossing,42.3554309,-71.0605001,US/Canada
Magyarország,Budapest,Kőbánya felső,47.4918176,19.1338628,Europe
Argentina,Buenos Aires,Malabia - Osvaldo Pugliese,-34.5990344,-58.4396927,Latin America
مصر,Cairo,Sadat,30.0439485,31.2353785,Middle East/Africa
South Africa,Cape Town,Cape Town,-33.9224221,18.4263523,Middle East/Africa
Venezuela,Caracas,Capitolio,10.5048974,-66.9176005,Latin America
Maroc ⵍⵎⵖⵔⵉⴱ المغرب,Casablanca,Casa Port,33.5989919,-7.6120293,Middle East/Africa
United States,Charlotte,9th Street,35.2296077,-80.8350561,US/Canada
United States,Chicago,Van Buren Street,41.8769281,-87.6229217,US/Canada
United States,Cleveland,Tower City,41.4977263,-81.6936162,US/Canada
Danmark,Copenhagen,Nørreport,55.6838484,12.5727632,Europe
United States,Dallas,Convention Center,32.7725813,-96.8025291,US/Canada
United States,Damascus,Cleveland Avenue,45.5017757,-122.4185211,US/Canada
United States,Denver,16th & California,39.744814,-104.9925368,US/Canada
United States,Detroit,Cadillac Center,42.3337072,-83.0461323,US/Canada
الإمارات العربية المتحدة,Dubai,Dubai Internet City,25.1021654,55.1739012,Middle East/Africa
Éire / Ireland,Dublin,Tara Street,53.3471286,-6.2543071,Europe
United Kingdom,Glasgow,Glasgow Queen Street Low Level,55.8623946,-4.2506796,Europe
Việt Nam,Hanoi,Long Biên,21.0398713,105.8500216,Asia/Oceania
Cuba,Havana,Terminal La Coubre,23.1272786,-82.3536456,Latin America
Suomi / Finland,Helsinki,Central Railway Station,60.1703844,24.9398457,Europe
中国,Hong Kong,Kowloon Tong,22.3367866,114.1775403,Asia/Oceania
United States,Houston,Theater District (eastbound),29.7607161,-95.3676331,US/Canada
Türkiye,Istanbul,Aşiyan,41.08138,29.0549987,Europe
Indonesia,Jakarta,Gambir,-6.1766553,106.8306473,Asia/Oceania
ישראל,Jerusalem,Jerusalem - Yitzhak Navon,31.7881125,35.2027658,Middle East/Africa
South Africa,Johannesburg,Faraday,-26.2119706,28.0444075,Middle East/Africa
پاکستان,Karachi,Train,24.8440127,67.0425141,Asia/Oceania
Україна,Kiev,Independence Square,50.4499356,30.5244408,Europe
日本,Kyoto,Marutamachi,35.0162879,135.7595533,Asia/Oceania
Nigeria,Lagos,Marina,6.4461596,3.3950293,Middle East/Africa
United States,Las Vegas,Sahara,36.1423879,-115.154593,US/Canada
Perú,Lima,Gamarra,-12.0652802,-77.0123842,Latin America
Portugal,Lisbon,Cais do Sodré,38.7059788,-9.1457371,Europe
United Kingdom,London,Charing Cross,51.5079664,-0.1263945,Europe
United States,Los Angeles,Civic Center/Grand Park,34.0548968,-118.2460939,US/Canada
España,Madrid,Sol,40.416938,-3.7033901,Europe
United States,Manhattan,96th Street,40.7917246,-73.9646698,US/Canada
Pilipinas,Manila,Paco,14.5790423,120.9991665,Asia/Oceania
Australia,Melbourne,North Melbourne,-37.8076092,144.9423514,Asia/Oceania
México,Mexico City,Zócalo/Tenochtitlan,19.4323027,-99.1322667,Latin America
United States,Miami,Miami Avenue,25.773424,-80.1935991,US/Canada
United States,Minneapolis,Government Plaza,44.9768155,-93.2658495,US/Canada
Canada,Montreal,McGill,45.5041095,-73.5715471,US/Canada
Россия,Moscow,Yuzhnaya,55.622256,37.6092188,Europe
India,Mumbai,Vidya Vihar,19.0795422,72.8971169,Asia/Oceania
Deutschland,Munich,Marienplatz,48.1371436,11.5753989,Europe
Kenya,Nairobi,Umoja,-1.286093,36.8838886,Middle East/Africa
India,New Delhi,Central Secretariat,28.6158794,77.2122822,Asia/Oceania
United States,New Orleans,New Orleans,29.9461665,-90.0784417,US/Canada
United States,Orlando,Church Street,28.5385903,-81.3807649,US/Canada
日本,Osaka,Kohama,34.6182376,135.4917095,Asia/Oceania
Norge,Oslo,Stortinget,59.9135655,10.7433418,Europe
France,Paris,Assemblée Nationale,48.8606922,2.3210377,Europe
United States,Philadelphia,City Hall,39.9531287,-75.1642021,US/Canada
ព្រះរាជាណាចក្រ​កម្ពុជា,Phnom Penh,Phnom Penh,11.5724555,104.9160379,Asia/Oceania
United States,Phoenix,Unknown,33.4483171,-112.0745085,US/Canada
United States,Pittsburgh,Pittsburgh Union Station,40.4445773,-79.9916388,US/Canada
United States,Portland,Oak Street/Southwest 1st Avenue,45.5200893,-122.6723502,US/Canada
Česko,Prague,Praha-Vršovice,50.0646654,14.4469345,Europe
조선민주주의인민공화국,Pyongyang,Ponghwa,39.0127045,125.7449225,Asia/Oceania
Brasil,Rio de Janeiro,Praça da Bandeira,-22.9098928,-43.2129559,Latin America
Italia,Rome,Colosseo,41.8914422,12.4914777,Europe
United States,San Francisco,Van Ness,37.7751897,-122.4192659,US/Canada
Brasil,Sao Paulo,Sé,-23.5504428,-46.6334463,Latin America
Bosna i Hercegovina / Босна и Херцеговина,Sarajevo,Sarajevo,43.8604591,18.3989497,Europe
